45.0 0,0000 0,0000 0,0000
46.0 0,0000 0,0000 0,0000
47.0 0,0000 0,0000 0,0000
48.0 0,0000 0,0000 0,0000
49.0 0,0000 0,0000 0,0000
50.0 7,0955 7,0955 0,0000
51.0 7,0787 7,0886 0,1400
52.0 7,0677 7,0825 0,2100
53.0 7,0626 7,0823 0,2800
54.0 7,0632 7,0929 0,4200
55.0 7,0698 7,1044 0,4900
56.0 7,0822 7,1269 0,6300
57.0 7,1006 7,1504 0,7000
58.0 7,1251 7,1802 0,7700
59.0 7,1560 7,2163 0,8400
60.0 7,1984 7,2642 0,9100
61.0 7,2426 7,3140 0,9800
62.0 7,2992 7,3710 0,9800
63.0 7,3581 7,4358 1,0500
64.0 7,4251 7,5140 1,1900
65.0 7,5059 7,5905 1,1200
66.0 7,5907 7,6871 1,2600
67.0 7,6909 7,7939 1,3300
68.0 7,8022 7,9012 1,2600
69.0 7,9199 8,0261 1,3300
70.0 8,0565 8,1702 1,4000
71.0 8,2081 8,3297 1,4700
72.0 8,3705 8,4946 1,4700
73.0 8,5576 8,6905 1,5400
74.0 8,7726 8,9026 1,4700
75.0 8,9939 9,1400 1,6100
76.0 9,2633 9,4137 1,6100
77.0 9,5541 9,7093 1,6100
78.0 9,8997 10,0674 1,6800
79.0 10,2743 10,4559 1,7500
